Объект;Планируемый адрес;Физический адрес;Юридический адрес;Контакты;Дата пуска;Дата закрытия;Ответственные;Статус;Инвентаризация;Последняя инвентаризация
AGG NRPVIN002;м. Вiнниця, вул. Келецька, 54Б;AGG NRPVIN002 м. Вiнниця, вул. Келецька, 54Б;;;30.12.2011;;Бойко П.Р.;Эксплуатация;False;31.12.2015
AGG VIN005;м.Вiнниця, вул.50-рiччя Перемоги,26;AGG VIN005 м.Вiнниця, вул.50-рiччя Перемоги,26;;;30.12.2011;;Косій Д.В.;Эксплуатация;False;29.06.2017
AGG VIN010;м.Вiнниця, вул.Келецька, 23;AGG VIN010 м.Вiнниця, вул.Келецька, 23;;;30.12.2011;;Косій Д.В.;Эксплуатация;False;17.06.2015
AGG VIN013;м.Вiнниця, вул. Паризькоi Комуни, 18;AGG VIN013 м.Вiнниця, вул. Паризькоi Комуни, 18;;;30.12.2011;;Косій Д.В.;Эксплуатация;False;30.09.2018
AGG VIN901;м.Вiнниця, просп.Юностi, 16;AGG VIN901 м.Вiнниця, просп.Юностi, 16;;;30.12.2011;;Косій Д.В.;Эксплуатация;False;16.12.2014
AGG VIN978;21021 м. Вiнниця, вул. 600-рiччя, 19;AGG VIN978 21021 м. Вiнниця, вул. 600-рiччя, 19;;;30.12.2011;;Косій Д.В.;Эксплуатация;False;30.06.2015
ATS VIN058;г.Винница, ул.Киевская, 14, ко;г.Винница, ул.Киевская, 14, ко;;;31.03.2001;;;Закрыт;False;31.03.2001
BSC VIN001;м. В?ннниця;м. В?ннниця;;;28.02.2003;;;Закрыт;False;28.02.2003
BSC VIN0036;м. Вiнниця, вул. Келицька, 54-б;BSC VIN0036 м. Вiнниця, вул. Келицька, 54-б;;;24.04.2013;22.12.2014;Гончаренко С.О.;Закрыт;False;07.06.2013
BSC VIN0065;м. Вiнниця, вул. Келицька, 54-б;BSC VIN0065 м. Вiнниця, вул. Келицька, 54-б;;;15.10.2012;25.04.2016;Бойко П.Р.;Закрыт;False;18.05.2013
BSC VIN0122;м. Вiнниця, вул. Келицька, 54-б;BSC VIN0122 м. Вiнниця, вул. Келицька, 54-б;;;24.04.2013;;Бойко П.Р.;Эксплуатация;False;20.12.2016
BSC VIN083;вул. Скалецького, 72;BSC VIN083 г. Винница, ул Келецкая, 54 б;;;23.08.2007;;Бойко П.Р.;Эксплуатация;False;14.09.2015
BSC VIN137;м. Вiнниця, вул. Келицька, 54-б;BSC VIN137 м. Вiнниця, вул. Келицька, 54-б;;;11.05.2012;;Бойко П.Р.;Эксплуатация;False;20.12.2016
BSC VIN142;г.Винница;BSC VIN142 г. Винница ул. Келецька, 54б;;;24.10.2008;;Бойко П.Р.;Эксплуатация;False;14.09.2015
BSC VIN159;м. Вiнниця, вул. Келицька, 54-б;BSC VIN159 м. Вiнниця, вул. Келицька, 54-б;;;20.01.2014;;Бойко П.Р.;Эксплуатация;False;27.03.2014
BSC VIN163;м. Вiнниця, вул. Келицька, 54Б, ЛАЦ-1;BSC VIN163 м. Вiнниця, вул. Келицька, 54Б, ЛАЦ-1;;;06.08.2010;;Бойко П.Р.;Эксплуатация;False;27.03.2014
BSC VIN175;м. Вiнниця, вул. Келицька, 54Б, ЛАЦ-1;BSC VIN175 м. Вiнниця, вул. Келицька, 54Б, ЛАЦ-1;;;10.11.2010;;Бойко П.Р.;Эксплуатация;False;27.03.2014
BSC VIN506;м. Вінниця, вул. Келицька, 54-б;;;;14.06.2016;;Бойко П.Р.;Эксплуатация;False;20.12.2016
BSC VIN517;м. Вінниця, вул. Келицька, 54Б;;;;21.12.2016;;Бойко П.Р.;Эксплуатация;False;21.12.2016
BSC VIN527;м. Вінниця, вул. Келицька, 54Б;;;;21.12.2016;;Бойко П.Р.;Эксплуатация;False;21.12.2016
MGW VIN028;м. Вiнниця, вул. Келицька, 54-б;MGW VIN028 м. Вiнниця, вул. Келицька, 54-б;;;02.08.2010;;Бойко П.Р.;Эксплуатация;False;27.03.2014
MGW VIN029;г. Винница;MGW VIN029 г. Винница, ул Келецкая, 54 б;;;12.06.2008;;Бойко П.Р.;Эксплуатация;False;22.12.2014
MGW VIN055;м. Вiнниця, вул. Келицька, 54Б;MGW VIN055 м. Вiнниця, вул. Келицька, 54Б;;;16.04.2012;;Бойко П.Р.;Эксплуатация;False;20.12.2016
MGW VIN064;м. Вiнниця, вул. Келицька, 54Б, ЛАЦ-1;MGW VIN064 м. Вiнниця, вул. Келицька, 54Б, ЛАЦ-1;;;02.08.2010;;Бойко П.Р.;Эксплуатация;False;27.03.2014
MIN VIN001;м.В?нниця,вул.Скалецького,72;MIN VIN001 м.Вiнниця,вул.Скалецького,72;;;31.08.2002;16.05.2009;Косій Д.В.;Закрыт;False;31.08.2002
MSS VIN0007;м. Вiнниця, вул. Келицька, 54-б;MSS VIN0007 м. Вiнниця, вул. Келицька, 54-б;;;24.04.2013;;Бойко П.Р.;Эксплуатация;False;20.12.2016
MSS VIN008;г. Винница;MSS VIN008 г. Винница, ул Келецкая, 54 б;;;23.10.2008;;Бойко П.Р.;Эксплуатация;False;14.09.2015
MSS VIN057;м. Вiнниця, вул. Келицька, 54-б;MSS VIN057 м. Вiнниця, вул. Келицька, 54-б;;;29.04.2011;;Бойко П.Р.;Эксплуатация;False;22.12.2014
MSS VIN072;м. Вiнниця, вул. Келицька, 54-б;MSS VIN072 м. Вiнниця, вул. Келицька, 54-б;;;21.10.2015;;Бойко П.Р.;Эксплуатация;False;31.12.2015
MTS VIN001;г.Винница, ул.Соборная, 10;г.Винница, ул.Соборная, 10;;;31.07.2002;;Тарасюк О.Г.;Закрыт;False;31.07.2002
NRP VIN001;м.Вiнниця,вул.Скалецького,72;NRP VIN001 м.Вiнниця,вул.Скалецького,72;;;01.10.2004;;Косій Д.В.;Эксплуатация;False;25.09.2015
NRP VIN002;вул. Келецька, 54Б, м. Вiнниця;NRP VIN002 вул. Келецька, 54Б, м. Вiнниця;;;24.12.2010;;Бойко П.Р.;Эксплуатация;False;23.03.2018
OPE VIN902;Вiнниця;OPE VIN902 Вiнниця;;;;;;Строящийся;False;
OPE VIN908;Вiнниця;OPE VIN908 Вiнниця;;;23.08.2007;14.07.2015;Косій Д.В.;Закрыт;False;02.03.2015
POP NRPVIN001;ул. Скалецкого, 72;POP NRPVIN001 ул. Скалецкого, 72;;;17.10.2013;;Косій Д.В.;Эксплуатация;False;25.09.2015
POP VIN000006;ул. Щорса, 24;POP VIN000006 ул. Щорса, 24;;;19.09.2013;;Косій Д.В.;Эксплуатация;False;10.02.2016
POP VIN000009;ул. Киевская, 14;POP VIN000009 ул. Киевская, 14;;;18.12.2013;;Косій Д.В.;Эксплуатация;False;02.03.2017
POP VIN000010;wew;;;;;;;Строящийся;False;
